有效的	effective	valid	active
手的	manual
丰富的	ample	fertile	flush	full	plentiful	rich	abundant
正面的	front
（衣服等）定做的	custom
公民的	civil
乐意的	glad	willing
大批的	bulk
内心的	mental	private	inner	interior	internal
现成的	forthcoming	ready
（对王族及其行为的敬语）仁慈的	gracious
幽静的	lonely
蹩脚的	ham	lame	tin
many的最高级	most
辽阔的	broad
无人的	desert	desolate
锡制的	tin
（知识）广博的	spacious
粗杂的	crude
空洞的	empty	hollow
那些的	those
熟练的	delicate	pat	skilled	skillful
进攻（性）的	offensive
最后的	final	last	net	ultimate
[语]综合的	synthetic
狠	ruthless
稀疏的	thin
免税的	free
即将到来的	forthcoming	this
矿物的	mineral
年年的	anniversary
头顶上的	overhead
树篱下的	hedge
活动着的情况	on
谷物的	cereal
下等的	lower	inferior
明白易懂的	intelligible
稳定的	permanent	stable	steady
可食用的	edible
事实如此的	so
大多数的	most
肯定	definite
文学的	academic
公正的	judicial	just
东部（地方）的	eastern
度量的	metric
敏感的	sensitive	subtle	acute	alive
隆重的	solemn
原始的	fundamental	original	primary	primitive	virgin
最严重的	worst
可信赖的	reliable	solid
较少的(little的比较级)	less
陡峭的	bold	sheer	steep	abrupt
非正统的	alternative
（故事等）猥亵的	spicy
北方的	north	northern
平日的	usual
助理的	assistant
满出的	overflow
慈悲的	tender
更坏的	worse
压倒一切的欢乐	overwhelming
侦探的	detective
具有某个时代特征的	period
[法]优先的	underlying
华美的	rich
新古典风格的	empire
英勇的	heroic
客观的	objective
孤傲冷漠的	cool
毫无结果的	nowhere
过量的	excess
正规的	legitimate	normal	precise
这	this
狡诈的	sly
自主的	independent
粗鲁的	bush	country	crude	robust	rough	rude
不可能发生的	unlikely
俚俗的	vulgar
沉思的	thoughtful
怯生生的	backward
干咳的	dry
侵略的	aggressive
死去的	dead
邻接的	neighbor
急剧	sudden
认真的	serious	intense
手边的	handy
正大光明	conscientious
纯的	net	pure
无感觉的	dead
显示…的特征的	characteristic
使精炼	polish
曲线形的	curve
[细胞]细胞核的	nuclear
有资格当选的	eligible
不公开的	closet
青春的	green
目标的	objective
特有的	characteristic	own	peculiar	proper	very
广袤的	broad
兢	cautious
异乎寻常的	unusual	exotic
谦和的	gracious
九个的	nine
极不愉快的	sticky
易受感染的	susceptible
永久的	eternal	perpetual
指导的	directory
起推动作用的	locomotive
永久（性）的	permanent
哪一些	which
难办的	tough
硬的	hard
广泛生长的	vegetable
（用于表示烦恼）讨厌的	wretched
相异的	unlike	alien
第一流的	banner	bully	champion	classical	first	foremost
愚蠢的	empty	fool	foolish	stupid	dizzy	ridiculous
语分析型的	analytic
十字形的	crucial
盘旋的	spiral
共同的	collective	cooperative	joint	joint	mutual	party
保密的	security
可察觉到的	visible
可敬的	honorable
平常的	average	conventional	everyday	ordinary	trivial	usual
摹拟的	synthetic
海底的	submarine
之前的	late
金本位的	gold
不确定的	tentative
零散的	odd
刚过去的	this
平地上的	surface
有把握的	secure	sure
习用的	conventional
一定的	definite	sure
大声的	loud
指状的	digital
奇特的	singular
无精打采的	tame
可取的	desirable	saving	advisable
不可缺少的	indispensable
毗邻的	adjacent
上面的	overhead	upper
成双的	twin
栎木制的	oak
下流的	blue	dirty	foul	nasty	naughty	shabby	spicy	vulgar
刚硬的	rigid
出自傲慢	arrogant
乳品的	dairy
联邦（制）的	federal
好斗者	militant
拉紧的	tense
仓促完成的	hasty
例行的	routine
处于轻松的	comfortable
寂静的	silent
有…的财产	worth
[语]（语音）紧的	tense
摹造的	false
不顺手的	awkward
试探性的	tentative
鼓励性质的	incentive
全局的	global
单调沉闷的	tedious
稻草的	straw
昭著	evident
共享的	joint
低劣的	bad	cheap	hedge	poor	shabby
悲剧的	tragic
欧美的	western
独特的	characteristic	proper	unique	unusual	exceptional	individual
无辜的	innocent
最近的	current	last	late	recent	up-to-date
重大的	deep	fatal	grave	great	important
五彩缤纷的	rainbow
肮脏的	dirty	nasty
暗藏的	closet
缺乏活力的	feeble
在历史上重要的	historic
连带的	joint
大约	some
以前的	back	fore	former	old	past	previous
直上的	vertical
（工作）困难的	painful
（因人员过剩）被解雇的	redundant
含铁的	iron	irony
每	each
（职位）空缺着的	void
映射的	onto
懒惰的	lazy
专制的	arbitrary
精力旺盛的	energetic
有磁性的	magnetic	polar
特派的	extraordinary
[法]认证了的	authentic
上级的	over
晚的	late
有进取心的	aggressive
详尽的	full	thorough
概括的	summary
中间的	middle	intermediate
精神上的	moral
有口才的	eloquent
无形的（指银行、旅游等服务）	invisible
相同的	like	parallel	same
深信的	confident
顽强的或有决心的	stubborn
开着的	open
序言的	preliminary
[常作B-]“反传统一代”成员的	beat
暗号的	signal
关于社会问题的	problem
不明确的	ambiguous
社会的	social
轻率的	blind	hasty	rash
急剧升降的	steep
同阶层的	horizontal
神智清楚的	rational
真挚的	earnest
贫瘠的	barren	lean
[计]全程的	global
激动人心的	dramatic
孝顺的	obedient
著称	famous
扎制成片的	sheet
成对的	duplicate	twin
友好的	friendly	nice
开心的	fun
每日一次的	daily
有（学士）学位的	graduate
东方文化的	oriental
硕大无朋	gigantic
喧闹的	noisy	furious
特有的或特别的	typical
集中起来的	concentrate
像男人的	masculine
大块的	massive
（英国）保守党的	conservative
必须做的	compulsory
[计]常驻的	resident
及时的	timely
奋发的	strenuous
陌生的(strange)的比较级	stranger
经济学的	economic
现行的	actual
婚姻的	marital	married
理想的	dream
堕落的	corrupt	degenerate	rotten
哑的	dumb	mute
徒劳的	empty	vain
包容一切的	catholic
严格的	firm	harsh	rigid	rigorous	strict
右方的	right
悟性好的	comprehensive
来自勤劳的	industrial
密集的	tight	dense
广泛的普遍的	catholic
不优美的	awkward
慢性的	chronic
主观的	arbitrary	subjective
特优种	predominant
线性的	linear
给与形态的	plastic
临时的	casual	extraordinary	false	occasional	temporary	transient	interim
奇异的	fantastic	unusual	weird	exotic	funny
难看的	ugly
恰当的	apt	fit	just	meet	suitable	well	adequate	appropriate
…的（事物或人）	what
被俘的	captive
过逾	excessive
闪亮的	splendid
可拆卸的	slip
有名无实的	paper
类似的	analogue	parallel	similar
遥远的	far	away	distant	farther
剩余的	odd	remainder	remnant	scrap
专家的	expert
由发动机推动的	motor
加强的	intensive
易损的	delicate
八十个的	eighty
适时的	timely
坚韧的	tough
刚好够的	bare
有财产的	substantial
人种的	racial
流通的	circular
影像的	video
信基督教的	christian
四处走动的	about
智[脑]力的	mental
凄惨的	terrific
感情	conscious
应有的	due
第二的	secondary
淡水的	fresh
顺从的	conform	obedient
南部的	lower	southern
同一行业的	horizontal
灰白的	grey
浓厚的	generous	dense
多余的	redundant	spare	spare	superfluous	surplus
基因的	genetic
精力充沛的	dynamic	energetic	robust	sturdy	vigorous
未成年的	minor	infant
始终如一的	constant	uniform
服从的	obedient
枯燥无味的	monotonous
无异议的	unanimous
太招摇的	loud
重的	heavy	massive
前列的	leading
倾斜度小的	gradual
拉丁姆的	Latin
向下的	down	downward
有才能的	capable
竞争的	competitive	rival
简炼的	elegant
成为一部份的	implicit
有限的	finite	finite	limited
出席的	attendant	present
动物的	animal
神志清醒的	conscious
根据太阳决定或测定的	solar
应考虑的	considerable
分别的	respective
驯养的	domestic
可得到的	visible
[生]第一代的	daughter
流行音乐的	pop
厚颜无耻的	confident
好争斗的	aggressive
纯净的	self
有引擎的	motor
不平常	different
充裕的	comfortable	plenty
无疑问的	implicit
贫乏的	poor
三倍的	triple
初次（听到）的	new
每…一次的	every
有意的	conscious	voluntary
词藻华美的	purple
敕许的	royal
不顾的	irrespective
考虑周到的	discreet	thorough
有魅力的	attractive	magnetic
未预见到的	sudden
实践的	practical
似乎不停的	eternal
八十的	eighty
有瘾的	dependent
[摄]（底片）明暗度强的	intense
暗淡的	bleak	dim	mat	neutral	pale
甜的	sweet
平淡无奇的	obvious	pedestrian
坦率的	genuine	open	straightforward	transparent
失效的	null
革命性的	revolutionary
[地质学	lower
理性的	rational
销的	pin
相当好的	decent	tidy
滑稽的	comic	humorous	funny
真正的	genuine	legitimate	proper	substantial	authentic	true
接替的	successive
取决于…的	dependent
每日的	daily
效果好的	fruitful
弹簧的	spring
不传导性的	opaque
（数量）大的	tall
溺爱的	fond	pet
未熟的	green
向东北的	northeast
古典的	classical
净的	net
深远的	deep
场面富丽的	spectacular
芳香的	fragrant	sweet
物质的	material	natural	outer	physical
作为毕生职业的	career
不寻常	extraordinary
直立的	erect	upright
使用着的	on
边界的	frontier
必要的	essential	necessary	imperative
狂怒的	furious
许许多多的	thousand	infinite
逼真的	eloquent	living	realistic
工资极限的	threshold
附随的	subsequent	incident
血染的	bloody
平民的	civilian	private
真实可信的	reliable
坚牢的	firm
满的	full
使对手不能因增加一分而成平局的	insurance
确信的	confident	sure
冲淡的	dilute
健全的	good	sound	sturdy	valid	wholesome	healthy
劳工的	labor
成熟的	grown-up	ripe	adult
通用的	universal
驯良的	obedient
公认为优秀的	standard
隐蔽的	blind	closet	obscure	shady	underground
尖刻的	acid
线形的	linear
坚定	constant
完美的	perfect
好求知的	curious
系统的	organic
假装的	sham	simulate
人的	human
球形的	global
反向的	backward	cross
免费的	free
前任的	former	past
微不足道的	minute	negligible	nominal	peanut
耗油的	thirsty
懂道理的	responsible
每年的	anniversary	annual	yearly
（计划）庞大的	big
碳的	carbon
利用真空的	vacuum
王的	king
一切在内的	overall
长时间的	long
缜密的	rigorous
平方的	square	super
你（们）的（东西）	yours
不掺假的	sincere
虚像的	virtual
（肠胃）不舒服的	upset
爱好平的	peaceful
空腹的	hollow
宗教的	holy	religious	sacred	spiritual
（车等）到站的	in
位于附近的	nearby
（法律等）严厉的	drastic
最低的	minimum
平时的	usual
彩虹状的	rainbow
非原产地的	artificial
着迷的	mad
无聊的	empty	tiresome
模拟计算机的	analogue
显然	patent
智力发达的	intellectual
公认的	orthodox
三分之一的	third
[乐]基音的	fundamental
最低限度的	marginal
全面的	global	thorough
勤奋的	diligent
均匀的	homogeneous
肤浅的	shallow	superficial	surface
敕定的	royal
十进位的	decimal
较大的	horse
在…之前	prior
透明的	crystal	transparent	white
醒着的	awake
十分重大的	fundamental
荒谬的	foolish	nonsense	rediculous	absurd	ridiculous
弧形的	round
现代的	contemporary	modern	new	pop	up-to-date
两者择一的	either	alternative
[体]巩固球队领先局面	insurance
不独立的	adjective
至关重要的	vital
乡村音乐的	country
客场比赛	away
几乎没有的	few
表示感谢的	welcome
最少的(little的最高级)	least
金融的	monetary
怀恨的	bitter
崇高的	high	spiritual
这些的	these
反对的	contrary	wrong
月的	lunar
（美貌）惊人的	fabulous
坚硬的	stiff
破坏性的	destructive
敞开的	open
超自然的	weird
姐妹般的	sister
一知半解的	superficial
含羊毛的	fur
宠爱的	favorite	fond	pet
出殡用的	funeral
（家具、服饰、建筑等）某一时代的	period
生动的	graphic	live	merry	vivid
阴郁的	gloomy
钱的（尤指一国的金融）	monetary
联合的	joint	associate
有能力的	competent	potential	able
离开肉体的	separate
栩栩如生的	realistic
易有的	incident
正派的	clean	decent	nice
定居的	resident	stationary
乱	arbitrary
不可避开的	indispensable
较次的	less
翻新的	renovate
极端的	deadly	drastic	extreme	rank
圆形的	circular	round
集团外的	outside
机灵的	bright	pretty
崎岖不平的	rough
绝种的	extinct
位于角落的	corner
其次的	following
均衡的	even
普及的	widespread
往下的	downward
怕羞的	shy
仅有雄蕊的	male
富有的	rich	wealthy	abundant
个人的	personal	subjective	individual	intimate
有朝气的	young
同类型的	sister
微小的	miniature	remote	slight	slim	tiny
星的	star
荒废的	desolate
最少的	minimum
经过稀化的	rare
（指品质、特性）明显的	eminent
随心所欲的	arbitrary
随之而产生的	attendant
噩梦似的	nightmare
有为	promising
在顶端的	head
可赚钱的	profitable
多次重复的	continual
（选择余地、可能性等）非常小	outside
胆小的	chicken	coward	nervous	timid
瞬间的	instantaneous
男性的	male
文雅的	gentle	polite
向东南的	southeast
变性的	degenerate
神志正常的	sane
痼	chronic
干旱的	dry	dry	thirsty
不停的	continual
暖和的	warm
热情的	enthusiastic	tropical	warm	intense	intense
顺时针方向的	clockwise
[物理学]稳定平衡的	stable
独断独行的	arbitrary
正统的	orthodox
晚上用的	evening
迫切的	instant
远超过预期的	wonder
势均力敌的	equal
恢复的	renovate
黄褐色的	tan
由绝望而引起的	desperate
逻辑（上）的	logical
黑的	black
[音乐]沉重的	grave
独自地	solo
（措施等）积极的	energetic
即可使用的	operational
综合成的	composite
老练的	elder	ripe	veteran
想入非非的	romantic
值得做的	worthwhile
创新的	creative	revolutionary
害怕（做）	shy
没感情的	numb
醒目的	bold
低等的	sorry
五个的	five
须服从…的	subject
葬礼的	funeral
正是	very
（女子体态）优美的	handsome
惊人的	electrical	spectacular	tremendous	incredible
女子气的	feminine
逆的	adverse
喜庆的	festival
（与单数名词连用	every
无畏的	bold
偏爱的	partial
令人高兴的	glad
未经触动的	intact
褊狭的	local
当代的	contemporary
薄弱的	spare
先天性	intrinsic
神秘的	mysterious	secret
合乎情理的	sensible
无益的	frustrate
渐进的	gradual
完全的	dead	full	sheer	total	utter	absolute	integrate
液态的	fluent
被推翻的	upset
慷慨大方的	lovely
有益的	beneficial	good	helpful	profitable	useful
有美感的	artistic
悲哀的	sad
有势力的	important
敌方的	enemy
通信的	corresponding
心细	careful
紧接在后的	next
几个的	several
那	that	those
多功能的	compound	multiple	versatile
闷热的	sticky
裸体的	naked
油腻的	fat
怀孕的	pregnant
球面的	global
外表上的	surface	exterior
账簿上的	book
魁伟的	massive
学会的	academic
结束的	past	terminate
不稳的	mobile
残酷的	cruel	harsh	iron
雅致的	graceful	gracious
不寻常的	rare	alternative	distinct
道义上的	moral
可怜的	pathetic	poor	wretched
重要的	big	earnest	fundamental	grave	leading	major	material	meat	noticeable	serious	significant	special	important
霸道的	arbitrary
[植物]一年生的	annual
外加	additional
粘着的	coherent
女性的	female
安静的	orderly	peaceful
体内的	internal
（证券交易）虚假的	wash
富于成果的	pregnant
范围广泛的	extensive
激动的	hot
零售的	retail
保险的	safe
礼拜的	church
随便的	casual	familiar
饥饿的	hungry
守旧的	fossil
明显的	bold	conspicuous	evident	frank	manifest	noticeable	obvious	visible	distinct
如愿以偿的	successful
最高的	peak	supreme	top
无意义的	nonsense
充实的	substantial
冬季的	winter
100万以上人口的	millionaire
可投掷的	missile
（指人）好竞争的	competitive
单一的	self	single
难闻的	foul
摆脱了责任或义务的	quit
温湿	humid
癔病的	hysterical
茫然的	blank	vacant	absent	abstract
细腻的	exquisite
规定的	ordinary	regulation
枝节的	side
近似	near
仁慈的	benign	feeling	kind
节俭的	prudent
感激的	grateful
炎热的	tropical
符合的	corresponding
预先准备好的	beforehand
